name,price,county,town,address,lng_wgs84,lat_wgs84
风尚天地广场,21886,宝山,共康,(宝山共康)共和新路5000弄,121.4386476,31.32429347
海湾国际名苑,21895,奉贤,海湾,(奉贤海湾)海马路5111弄,121.5092507,30.82205665
玉屏新村,21897,崇明,堡镇,(崇明堡镇)玉屏新村,121.6080127,31.53647085
蓝色城邦(公寓),21900,浦东,泥城镇,(浦东泥城镇)霞光路78弄,121.8086837,30.90270083
欣欣苑,21908,浦东,惠南,(浦东惠南)南门路88弄,121.7497332,31.0404201
滨江裕花园,21917,上海周边,昆山,(上海周边昆山)昆山市花桥镇金峰路801号,121.0735507,31.28333949
华龙大酒店,21955,闸北,不夜城,(闸北不夜城)沪太路365号,121.4474657,31.25768205
山鑫康城,21968,金山,山阳,(金山山阳)卫阳南路118弄,121.3547664,30.73191498
东区新村,21971,浦东,临港新城,(浦东临港新城)东区新村,121.778491,30.85991347
清风名苑,21978,浦东,泥城镇,(浦东泥城镇)池月路848弄,121.8097585,30.91248874
星火农场海滨三村,21984,奉贤,海湾,(奉贤海湾)星火农场海滨三村,121.5642947,30.86573713
东礁四村,21990,金山,石化,(金山石化)东礁四村,121.3390056,30.72454661
汤泉美地城,21995,金山,朱泾,(金山朱泾)金石北路6800弄,121.194803,30.87680327
海欣家园,22038,金山,山阳,(金山山阳)龙皓路398弄,121.3463932,30.76340083
新建中路604弄,22045,奉贤,南桥,(奉贤南桥)新建中路604弄,121.4489618,30.91882171
云锦丽苑,22081,浦东,泥城镇,(浦东泥城镇)泥城路89弄,121.8223745,30.90209153
卫龙新村,22127,金山,石化,(金山石化)卫零路726弄,121.3316841,30.73320382
前卫新村,22136,崇明,长兴岛,(崇明长兴岛)前卫新村,121.7167826,31.38959583
汇金新苑,22143,奉贤,奉贤金汇,(奉贤奉贤金汇)金闸公路225弄,121.4982755,30.98503554
佳兆业珊瑚湾(别墅),22182,奉贤,海湾,(奉贤海湾)海马路4333弄,121.5314271,30.82862153
江海新村,22205,奉贤,南桥,(奉贤南桥)江海新村,121.4506246,30.90832876
汇南小区,22238,奉贤,庄行,(奉贤庄行)汇南小区,121.3952572,30.96039194
颛兴路100弄,22249,闵行,颛桥,(闵行颛桥)颛兴路100弄,121.3946572,31.0695388
祥安菊苑,22253,浦东,万祥镇,(浦东万祥镇)祥安路148弄,121.8091212,30.96321756
金叶小区,22287,奉贤,南桥,(奉贤南桥)振贤路10号,121.4583686,30.91699327
云松景庭,22309,浦东,泥城镇,(浦东泥城镇)彩云路567弄,121.8029416,30.90085747
