gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,price
layer_township_pg.66,湖南路街道,乡镇,310104004000,4,310104,徐汇区,310104000000,99944.18181818182
layer_township_pg.67,斜土路街道,乡镇,310104007000,4,310104,徐汇区,310104000000,80560.18072289157
layer_township_pg.68,田林街道,乡镇,310104011000,4,310104,徐汇区,310104000000,74044.30434782608
layer_township_pg.69,漕河泾新兴技术开发区,乡镇,310104501000,4,310104,徐汇区,310104000000,66440.5
layer_township_pg.70,长桥街道,乡镇,310104010000,4,310104,徐汇区,310104000000,67375.43396226416
layer_township_pg.71,徐家汇街道,乡镇,310104014000,4,310104,徐汇区,310104000000,90816.73417721518
layer_township_pg.72,华泾镇,乡镇,310104103000,4,310104,徐汇区,310104000000,54477.3
layer_township_pg.73,真如镇,乡镇,310107101000,4,310107,普陀区,310107000000,55390.032608695656
layer_township_pg.74,长寿路街道,乡镇,310107015000,4,310107,普陀区,310107000000,70405.82945736434
layer_township_pg.75,桃浦镇,乡镇,310107103000,4,310107,普陀区,310107000000,45860.38983050847
layer_township_pg.76,曹杨新村街道,乡镇,310107005000,4,310107,普陀区,310107000000,63085.40740740741
layer_township_pg.77,石泉路街道,乡镇,310107017000,4,310107,普陀区,310107000000,60017.28358208955
layer_township_pg.78,长风新村街道,乡镇,310107014000,4,310107,普陀区,310107000000,67755.84057971014
layer_township_pg.79,甘泉路街道,乡镇,310107016000,4,310107,普陀区,310107000000,55824.13043478261
layer_township_pg.80,长征镇,乡镇,310107102000,4,310107,普陀区,310107000000,62440.9081632653
layer_township_pg.81,宜川路街道,乡镇,310107020000,4,310107,普陀区,310107000000,55677.28813559322
layer_township_pg.82,新江湾城街道,乡镇,310110020000,4,310110,杨浦区,310110000000,75888.34146341463
layer_township_pg.83,殷行街道,乡镇,310110016000,4,310110,杨浦区,310110000000,51274.27777777778
layer_township_pg.84,四平路街道,乡镇,310110009000,4,310110,杨浦区,310110000000,71194.83116883117
layer_township_pg.85,控江路街道,乡镇,310110012000,4,310110,杨浦区,310110000000,66058.56164383562
layer_township_pg.86,定海路街道,乡镇,310110001000,4,310110,杨浦区,310110000000,60002.92156862745
layer_township_pg.87,江浦路街道,乡镇,310110008000,4,310110,杨浦区,310110000000,66722.25925925926
layer_township_pg.88,大桥街道,乡镇,310110018000,4,310110,杨浦区,310110000000,63582.402298850575
layer_township_pg.89,长白新村街道,乡镇,310110013000,4,310110,杨浦区,310110000000,57162.08108108108
layer_township_pg.90,五角场镇,乡镇,310110101000,4,310110,杨浦区,310110000000,60265.3358778626
layer_township_pg.91,延吉新村街道,乡镇,310110015000,4,310110,杨浦区,310110000000,58572.59459459459
layer_township_pg.92,平凉路街道,乡镇,310110006000,4,310110,杨浦区,310110000000,69267.22222222222
layer_township_pg.93,五角场街道,乡镇,310110019000,4,310110,杨浦区,310110000000,65500.34375
layer_township_pg.94,洞泾镇,乡镇,310117106000,4,310117,松江区,310117000000,30881.88888888889
layer_township_pg.95,佘山镇,乡镇,310117103000,4,310117,松江区,310117000000,48124.77777777778
layer_township_pg.96,泖港镇,乡镇,310117109000,4,310117,松江区,310117000000,
layer_township_pg.97,石湖荡镇,乡镇,310117116000,4,310117,松江区,310117000000,
layer_township_pg.98,车墩镇,乡镇,310117104000,4,310117,松江区,310117000000,29262.0
layer_township_pg.99,叶榭镇,乡镇,310117120000,4,310117,松江区,310117000000,22167.666666666668
layer_township_pg.100,方松街道,乡镇,310117003000,4,310117,松江区,310117000000,41644.04347826087
layer_township_pg.101,新桥镇,乡镇,310117105000,4,310117,松江区,310117000000,39859.367647058825
layer_township_pg.102,泗泾镇,乡镇,310117102000,4,310117,松江区,310117000000,34974.93548387097
layer_township_pg.103,松江工业区,乡镇,310117501000,4,310117,松江区,310117000000,7272.0
layer_township_pg.104,中山街道,乡镇,310117004000,4,310117,松江区,310117000000,32793.05084745763
layer_township_pg.105,新浜镇,乡镇,310117117000,4,310117,松江区,310117000000,31405.0
layer_township_pg.106,小昆山镇,乡镇,310117121000,4,310117,松江区,310117000000,
layer_township_pg.107,永丰街道,乡镇,310117002000,4,310117,松江区,310117000000,37571.705882352944
layer_township_pg.108,九亭镇,乡镇,310117107000,4,310117,松江区,310117000000,43272.97402597403
layer_township_pg.109,岳阳街道,乡镇,310117001000,4,310117,松江区,310117000000,33857.42424242424
layer_township_pg.110,川沙新镇,乡镇,310115103000,4,310115,浦东新区,310115000000,41128.630681818184
layer_township_pg.111,浦兴路街道,乡镇,310115014000,4,310115,浦东新区,310115000000,59360.84507042253
layer_township_pg.112,书院镇,乡镇,310115142000,4,310115,浦东新区,310115000000,19524.8
layer_township_pg.113,新场镇,乡镇,310115133000,4,310115,浦东新区,310115000000,31611.30769230769
layer_township_pg.114,周家渡街道,乡镇,310115007000,4,310115,浦东新区,310115000000,64847.816666666666
layer_township_pg.115,东明路街道,乡镇,310115015000,4,310115,浦东新区,310115000000,56220.319444444445
layer_township_pg.116,金桥经济技术开发区,乡镇,310115502000,4,310115,浦东新区,310115000000,41977.2
layer_township_pg.117,曹路镇,乡镇,310115117000,4,310115,浦东新区,310115000000,44549.4
layer_township_pg.118,金杨新村街道,乡镇,310115012000,4,310115,浦东新区,310115000000,64296.01136363636
layer_township_pg.119,塘桥街道,乡镇,310115008000,4,310115,浦东新区,310115000000,71612.13235294117
layer_township_pg.120,南码头路街道,乡镇,310115010000,4,310115,浦东新区,310115000000,61366.379746835446
layer_township_pg.121,张江镇,乡镇,310115125000,4,310115,浦东新区,310115000000,58805.6231884058
layer_township_pg.122,康桥镇,乡镇,310115136000,4,310115,浦东新区,310115000000,49934.71287128713
layer_township_pg.123,唐镇,乡镇,310115114000,4,310115,浦东新区,310115000000,53520.58823529412
layer_township_pg.124,宣桥镇,乡镇,310115141000,4,310115,浦东新区,310115000000,28323.4
layer_township_pg.125,大团镇,乡镇,310115134000,4,310115,浦东新区,310115000000,19888.18181818182
layer_township_pg.126,潍坊新村街道,乡镇,310115004000,4,310115,浦东新区,310115000000,81030.73015873016
layer_township_pg.127,合庆镇,乡镇,310115110000,4,310115,浦东新区,310115000000,31149.095238095237
layer_township_pg.128,沪东新村街道,乡镇,310115011000,4,310115,浦东新区,310115000000,57595.06
layer_township_pg.129,上钢新村街道,乡镇,310115009000,4,310115,浦东新区,310115000000,60147.76315789474
layer_township_pg.130,高行镇,乡镇,310115121000,4,310115,浦东新区,310115000000,53926.11475409836
layer_township_pg.131,泥城镇,乡镇,310115140000,4,310115,浦东新区,310115000000,21218.323529411766
layer_township_pg.132,万祥镇,乡镇,310115143000,4,310115,浦东新区,310115000000,22505.571428571428
layer_township_pg.133,外高桥保税区,乡镇,310115501000,4,310115,浦东新区,310115000000,24634.0
layer_township_pg.134,张江高科技园区,乡镇,310115503000,4,310115,浦东新区,310115000000,66579.0625
layer_township_pg.135,南汇新城镇,乡镇,310115145000,4,310115,浦东新区,310115000000,23111.608695652172
layer_township_pg.136,花木街道,乡镇,310115016000,4,310115,浦东新区,310115000000,77543.55033557047
layer_township_pg.137,高桥镇,乡镇,310115104000,4,310115,浦东新区,310115000000,40809.58947368421
layer_township_pg.138,三林镇,乡镇,310115130000,4,310115,浦东新区,310115000000,58698.49494949495
layer_township_pg.139,陆家嘴街道,乡镇,310115005000,4,310115,浦东新区,310115000000,86417.28571428571
layer_township_pg.140,惠南镇,乡镇,310115131000,4,310115,浦东新区,310115000000,30405.11875
layer_township_pg.141,高东镇,乡镇,310115123000,4,310115,浦东新区,310115000000,37806.0
layer_township_pg.142,航头镇,乡镇,310115137000,4,310115,浦东新区,310115000000,34920.40909090909
layer_township_pg.143,老港镇,乡镇,310115144000,4,310115,浦东新区,310115000000,17675.333333333332
layer_township_pg.144,金桥镇,乡镇,310115120000,4,310115,浦东新区,310115000000,69689.03571428571
layer_township_pg.145,周浦镇,乡镇,310115132000,4,310115,浦东新区,310115000000,41710.91089108911
layer_township_pg.146,洋泾街道,乡镇,310115013000,4,310115,浦东新区,310115000000,78518.33613445378
layer_township_pg.147,祝桥镇,乡镇,310115139000,4,310115,浦东新区,310115000000,31613.44230769231
layer_township_pg.148,北蔡镇,乡镇,310115105000,4,310115,浦东新区,310115000000,62026.6171875
layer_township_pg.149,提篮桥街道,乡镇,310109018000,4,310109,虹口区,310109000000,70276.62295081967
layer_township_pg.150,江湾镇街道,乡镇,310109019000,4,310109,虹口区,310109000000,56723.916666666664
layer_township_pg.151,广中路街道,乡镇,310109011000,4,310109,虹口区,310109000000,61209.95294117647
layer_township_pg.152,凉城新村街道,乡镇,310109016000,4,310109,虹口区,310109000000,60331.20895522388
layer_township_pg.153,欧阳路街道,乡镇,310109009000,4,310109,虹口区,310109000000,64906.86324786325
layer_township_pg.154,曲阳路街道,乡镇,310109010000,4,310109,虹口区,310109000000,66263.21505376344
layer_township_pg.155,嘉兴路街道,乡镇,310109014000,4,310109,虹口区,310109000000,75295.5125
layer_township_pg.156,四川北路街道,乡镇,310109017000,4,310109,虹口区,310109000000,71965.16949152542
layer_township_pg.157,金山工业区,乡镇,310116503000,4,310116,金山区,310116000000,16458.0
layer_township_pg.158,张堰镇,乡镇,310116103000,4,310116,金山区,310116000000,16770.285714285714
layer_township_pg.159,廊下镇,乡镇,310116107000,4,310116,金山区,310116000000,12019.25
layer_township_pg.160,金山卫镇,乡镇,310116109000,4,310116,金山区,310116000000,16615.64285714286
layer_township_pg.161,朱泾镇,乡镇,310116101000,4,310116,金山区,310116000000,24377.074074074073
layer_township_pg.162,山阳镇,乡镇,310116113000,4,310116,金山区,310116000000,24187.42105263158
layer_township_pg.163,枫泾镇,乡镇,310116102000,4,310116,金山区,310116000000,16333.777777777777
layer_township_pg.164,吕巷镇,乡镇,310116105000,4,310116,金山区,310116000000,16136.454545454546
layer_township_pg.165,漕泾镇,乡镇,310116112000,4,310116,金山区,310116000000,13853.25
layer_township_pg.166,石化街道,乡镇,310116001000,4,310116,金山区,310116000000,19493.15
layer_township_pg.167,亭林镇,乡镇,310116104000,4,310116,金山区,310116000000,16769.222222222223
layer_township_pg.168,新华路街道,乡镇,310105004000,4,310105,长宁区,310105000000,82320.25274725274
layer_township_pg.169,华阳路街道,乡镇,310105001000,4,310105,长宁区,310105000000,75434.89436619719
