gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county
layer_township_pg.77,石泉路街道,乡镇,310107017000,4,310107,普陀区,310107000000
layer_township_pg.78,长风新村街道,乡镇,310107014000,4,310107,普陀区,310107000000
layer_township_pg.79,甘泉路街道,乡镇,310107016000,4,310107,普陀区,310107000000
layer_township_pg.80,长征镇,乡镇,310107102000,4,310107,普陀区,310107000000
layer_township_pg.81,宜川路街道,乡镇,310107020000,4,310107,普陀区,310107000000
layer_township_pg.82,新江湾城街道,乡镇,310110020000,4,310110,杨浦区,310110000000
layer_township_pg.83,殷行街道,乡镇,310110016000,4,310110,杨浦区,310110000000
layer_township_pg.84,四平路街道,乡镇,310110009000,4,310110,杨浦区,310110000000
layer_township_pg.85,控江路街道,乡镇,310110012000,4,310110,杨浦区,310110000000
layer_township_pg.86,定海路街道,乡镇,310110001000,4,310110,杨浦区,310110000000
layer_township_pg.87,江浦路街道,乡镇,310110008000,4,310110,杨浦区,310110000000
layer_township_pg.88,大桥街道,乡镇,310110018000,4,310110,杨浦区,310110000000
layer_township_pg.89,长白新村街道,乡镇,310110013000,4,310110,杨浦区,310110000000
layer_township_pg.90,五角场镇,乡镇,310110101000,4,310110,杨浦区,310110000000
layer_township_pg.91,延吉新村街道,乡镇,310110015000,4,310110,杨浦区,310110000000
layer_township_pg.92,平凉路街道,乡镇,310110006000,4,310110,杨浦区,310110000000
layer_township_pg.93,五角场街道,乡镇,310110019000,4,310110,杨浦区,310110000000
layer_township_pg.94,洞泾镇,乡镇,310117106000,4,310117,松江区,310117000000
layer_township_pg.95,佘山镇,乡镇,310117103000,4,310117,松江区,310117000000
layer_township_pg.96,泖港镇,乡镇,310117109000,4,310117,松江区,310117000000
layer_township_pg.97,石湖荡镇,乡镇,310117116000,4,310117,松江区,310117000000
layer_township_pg.98,车墩镇,乡镇,310117104000,4,310117,松江区,310117000000
layer_township_pg.99,叶榭镇,乡镇,310117120000,4,310117,松江区,310117000000
layer_township_pg.100,方松街道,乡镇,310117003000,4,310117,松江区,310117000000
layer_township_pg.101,新桥镇,乡镇,310117105000,4,310117,松江区,310117000000
layer_township_pg.102,泗泾镇,乡镇,310117102000,4,310117,松江区,310117000000
layer_township_pg.103,松江工业区,乡镇,310117501000,4,310117,松江区,310117000000
layer_township_pg.104,中山街道,乡镇,310117004000,4,310117,松江区,310117000000
layer_township_pg.105,新浜镇,乡镇,310117117000,4,310117,松江区,310117000000
layer_township_pg.106,小昆山镇,乡镇,310117121000,4,310117,松江区,310117000000
layer_township_pg.107,永丰街道,乡镇,310117002000,4,310117,松江区,310117000000
layer_township_pg.108,九亭镇,乡镇,310117107000,4,310117,松江区,310117000000
layer_township_pg.109,岳阳街道,乡镇,310117001000,4,310117,松江区,310117000000
layer_township_pg.110,川沙新镇,乡镇,310115103000,4,310115,浦东新区,310115000000
layer_township_pg.111,浦兴路街道,乡镇,310115014000,4,310115,浦东新区,310115000000
layer_township_pg.112,书院镇,乡镇,310115142000,4,310115,浦东新区,310115000000
layer_township_pg.113,新场镇,乡镇,310115133000,4,310115,浦东新区,310115000000
layer_township_pg.114,周家渡街道,乡镇,310115007000,4,310115,浦东新区,310115000000
layer_township_pg.115,东明路街道,乡镇,310115015000,4,310115,浦东新区,310115000000
layer_township_pg.116,金桥经济技术开发区,乡镇,310115502000,4,310115,浦东新区,310115000000
layer_township_pg.117,曹路镇,乡镇,310115117000,4,310115,浦东新区,310115000000
layer_township_pg.118,金杨新村街道,乡镇,310115012000,4,310115,浦东新区,310115000000
layer_township_pg.119,塘桥街道,乡镇,310115008000,4,310115,浦东新区,310115000000
layer_township_pg.120,南码头路街道,乡镇,310115010000,4,310115,浦东新区,310115000000
layer_township_pg.121,张江镇,乡镇,310115125000,4,310115,浦东新区,310115000000
